0Dreamstars.ModTranslation-name|模组翻译
speedster_tut_a|移动时充能，滑铲时释放能量！
speedster_tut_b|小心，如果你跑得太快，撞到任何东西都会让你眩晕！
speedster_old_tut_a|继续前进以加快速度。越过某个阈值即可获得提升！
speedster_old_tut_b|以提升的速度继续前进，以获得更快的提升！
speedster_ms_tut_a|滑动从生物下方通过而不会让自己眩晕！
speedster_ms_tut_b|达到3档及以上时无限滑动！
speedster_ms_old_tut_b|达到额外提升时无限滑动！
Gilded|镀金
gilded_desc|利用来源于他处的力量,从<REPLACE>中获得好处.
gilded_sub_a|虚空
gilded_sub_b|一个神秘的地方
gilded_tut_a|跳到更高的地方。超级翻墙真的很高！
gilded_tut_b||空着双手在半空中按投掷，踩一脚！免疫坠落伤害。
gilded_tut_c|<GILDED>不能投掷石块或长矛自卫。首先使用能量改变物品！
gilded_tut_rock|手握石块或炸弹进行投掷，将其转化为燃烧弹！
gilded_tut_spear|用长矛按住投掷，把它变成烈焰之矛！
gilded_tut_fullpower_a|用燃烧弹或火枪按住投掷，将其转化为奇点炸弹。
gilded_tut_fullpower_b|飞行的持续时间现在不受限制。
gilded_tut_guardian|<GILDED>只需杀死守卫一次即可通过！
Gimmicks|彩蛋
escoptions_gimmicks|这些可选的噱头将增加一些功能，这些功能可能会显著改变护卫的游戏性（以滑稽的方式）
escoptions_sillysfx_text|启用愚蠢的音效
escoptions_sillysfx_desc|替换了一些音效，一方面会扼杀沉浸感，但另一方面... 哈哈，乐就完了。
escoptions_noflipsfx_text|禁用（古怪突袭的）音效
escoptions_noflipsfx_desc|如果你觉得古怪突袭音效很难听，可以禁用它
escoptions_elevator_text|启用电梯
escoptions_elevator_desc|启用后，允许Escort从生物身上降落时触摸星点。
escoptions_propdk_text|正确的下踢动画
escoptions_propdk_desc|在下踢过程中，让护卫在半空中转动身体，使下踢看起来更像。
escoptions_deflslide_text|超级增强<DEFLECTOR>滑行
escoptions_deflslide_desc|使<DEFLECTOR>的滑行持续时间更长。
escoptions_poletech_text|杆技术
escoptions_poletech_desc|为需要者保留。不完全是<REPLACE>，但是功能大致相同。始终为<DEFAULT>护卫启用。
escoptions_oldspeed_text|旧<SPEEDSTER>机制
escoptions_oldspeed_desc|使<SPEEDSTER>护卫机制恢复到更改前。
Hmm? What's this?|额？这是什么？
Accessibility|无障碍
escoptions_accessibility|改变一些视觉效果的显示方式，以便更容易地了解正在发生的事情。
escoptions_hypeindicator_text|更强的怒气值指示
escoptions_hypeindicator_desc|添加视觉效果以更清楚地显示护卫是否处于怒气状态。
escoptions_deflaltvfx_text|用于<DEFLECTOR>类型的不同音效
escoptions_deflaltvfx_desc|将<DEFLECTOR>护卫的增强视觉效果从火花更改为电磁圈。
escoptions_devlog_text|开发者日志
escoptions_devlog_desc|控制允许发送到日志的内容，-1表示禁用所有Escort开发者日志。
escoptions_hudshow_text|护卫HUD可见性
escoptions_hudshow_desc|改变HUD现实的方式和时间。
Hide|隐藏
Show With Map|随地图显示
Show When Relevant|发生变化时显示
Always Show|保持显示
escoptions_hudloc_text|护卫HUD位置
escoptions_hudloc_desc|改变HUD所处位置（仅对默认HUD生效）
Bottom Left|左侧按钮
Bottom Center|中部按钮
Bottom Middle|中部按钮
Left Stacked|左侧堆叠
escoptions_hudtype_text|护卫HUD风格
escoptions_hudtype_desc|改变HUD样式
Rings|环状
Bars|条状
escoptions_insult_a|你不是我妈。
escoptions_insult_b|滚！
escoptions_insult_c|菜就多练。
escoptions_insult_d|我不在乎。
escoptions_insult_e|给老子闭嘴。
escoptions_sectret_spuphaiku|...尽管从来没有意图<LINE>...幼崽逃脱了控制<LINE>...小心点，对吧？...
escoptions_sectret_gilded|这段代码本应提前解锁<GILDED>版本以进行预览，但由于该版本已公开发布，该代码不再用于此目的<LINE><LINE>现在此代码将<GILDED>发送到<REPLACE><LINE>尽情享受吧！
escoptions_sectret_subgild|一个特殊的地方
escoptions_sectret_invincible|无敌，但事实并非如此。你只是不会受到伤害哈哈。
... what now?|......现在怎么办？
OUT!|出去!
Has Suns decided to insult me with yet another messenger?|红日又决定用另一个信使侮辱我了吗？
...a rat|...一只老鼠
... a vermin.|...一只害虫
... a thing.|... a thing.
... nothing interesting.|...无聊
... a disease.|...一场疾病
... a failure.|...一次失败
... a mouse.|...一只老鼠
Just my luck.|真倒霉。
I don't have time to deal with this right now.|我现在可没时间处理这些。
Get out.|出去。
Get out of my chamber.|从我的罐头里出去。
Fucking.|肏。
Hello little beast. It is nice to see you again.|嗨，小野兽，再次见到你真高兴。
Thank you for visiting me. I would not mind some company, but you cannot stay here. I do not want you to be caught in the collapse of my structure.|谢谢你来看我。我不介意有人陪伴，但你不能呆在这里。我不想让你困在我倒塌的建筑中。
It is nice to see you again, but I'm afraid I have nothing for you.|很高兴再次见到你，但恐怕我什么都没有了。
I'm so sorry little creature! I never meant to hurt you!|我很抱歉，小家伙！我从来没有想过要伤害你！
My structure is on the verge of collapsing. This is all I can offer...|我的建筑濒临倒塌。这就是我所能提供的...
Isn't it funny? The last creature to enter my chamber had extreme adaptations as well.|这不是很有趣吗？最后一个进入我房间的生物也有极端的适应能力。
Though yours seem vastly different... What are you?|虽然你的看起来大不相同... 你是什么？
I could look up the records of your body's blueprints, but it would be dangerous for you to stay here for the process.|我可以查一下你身体蓝图的记录，但你留在这里进行这个过程会很危险。
My n...|我的...
My neighb... b b b|我的邻邻邻邻...居
My neighbor, Five Pebbles, has not stopped his output. If the messenger made it safely to the communications array, the local group would know.|我的邻居五块卵石并没有停止他的输出。如果信使安全到达通信阵列，本地群组就会知道。
Were you sent by the local group?|你是本地群组派来的吗？
Who sent you?|谁派你来的？
I should not keep you here any longer.|我不应该再把你留在这里了。
I cannot offer you hospitality either, poor thing. Run along now, before my structure collapses.|我也不能招待你，可怜的家伙。现在快跑吧，我马上就会倒塌。
My neighbor, Five Pebbles, has not stopped his output. I do not know if the messenger made it to him, or if he has chosen to ignore the message.|我的邻居五块卵石并没有停止他的输出。我不知道信使有没有找到他，也不知道他是否选择忽略了这条信息。
There is not much I can do, and I urge you to move on, before my structure fails.|我无能为力，我敦促你们在我的结构损毁之前继续前进。
I would not mind some company, however I urge you to move along. I do not want you to be caught in the collapse of my structure.|我不介意有人陪伴，但我敦促你继续前进。我不想让你因我的建筑倒塌而被困其中。
HUD B UPDATE|HUD B更新
escoptions_deflshared_text|共享的<DEFLECTOR>永久伤害
escoptions_deflshared_desc|共享<DEFLECTOR>永久伤害，这样每个人都可以获得输出和增强。
escoptions_moreplayerbuilds_text|vvv为4名以上玩家配置类型vvv
NEW ESCAPIST UPDATE|新逃亡者更新
escoptions_custombinds_text|护卫自定义按键
escoptions_custombinds_desc|<REPLACE>自定义按键，适用于玩家
escoptions_oldescape_text|传统<ESCAPIST>机制
escoptions_oldescape_desc|回到原来的<ESCAPIST>，他可以简单地弹出抓取
escoptions_sectret_magic|当你的蹬墙跳出错时，不要抱怨。
ENDING ONE UPDATE|结局一更新
At the cost of a karma flower, the slugpup respawns!|以业力花为代价，幼崽重生了！
Bringing a karma flower into the shelter while already reinforced will consume the karma flower instead!|将业力花带进庇护所，同时已经得到强化，会消耗业力花！
escoptions_pupsforeveryone_text|解锁护卫幼崽
escoptions_pupsforeveryone_desc|允许其他护卫流派也可以发现幼崽。注意: 可能会导致意外行为。
<-PLAYER #|<-玩家 #
Speedster Gear Limit|速度星档位限制
Sets the gear limit for the Speedster build. Handle with care!|设置速度星类型的档位限制。谨慎处理！
Allow|允许
Set|配置
Reset|重置
Escort Custom Keybinds|护卫自定义按键
Reset Keybind|重置按键

//2950073538
customexpo-description|增加了不同的蛞蝓猫任务以带来全新的探险体验！
Spearious Business|长矛业务
Outskirt Sweep|清理郊区
Little Archeologist|小考古学家
Flexitarian Diet|自由素食
Hypocritical Art|虚伪工匠
In Denial|矢口否认
Mother No More|护母之心
Temple Raid|寺庙突袭

//2950074548
MXPexpo-description|原版探险中获取最高分的“最大得分探险任务设置”，无需再为隐藏任务重刷而抓狂！
Hunter MXP|猎手
Survivor MXP|求生者
Monk MXP|僧侣
Gourmand MXP|饕餮
Artificer MXP|工匠
Spearmaster MXP|矛大师
Rivulet MXP|溪流
Saint MXP|圣徒

//2950268943
NoirCatto.NoirCatto-description|诺尔，一个擅长近战的四足肉食性蛞蝓猫！
Noir|诺尔
The Noir|诺尔
NOIR|诺尔
A black-and-white, curious cat, who fights with claw and tooth.|一只黑白相间、满怀好奇的猫，用尖牙和利齿战斗。

//2955231211
The Tinkerer|修补匠
THE TINKERER|修补匠
Tinkerer|修补匠
The Tinkerer is one of many highly intelligent slugs. <LINE> But it seems as if a great hunger has reawaken you from your deep slumber...|高智商的蛞蝓猫。<LINE>似乎是巨大的饥饿将你从沉睡中唤醒...

//2955624813
CowBoySLug.ShanKa-description|增加了新的蛞蝓猫——牛仔<LINE>长按【拾取】拖回你的矛<LINE>如果你想要矛更快被拖回可以按下【下】+【拾取】<LINE>只需要点击一次，你就能用长矛攻击其他生物。<LINE>当你的长矛堆叠在某个地方的时候，按住【跳跃】+【拾取】可以朝那个方向移动。<LINE>当你造成多次伤害以后，你可以让生物掉落帽子，然后用你的头接住帽子戴上。<LINE><LINE>戴上帽子后你可以使用绳索技能。
The CowBoy|牛仔
THE COWBOY|牛仔
CowBoy|牛仔
CowBoy know how to use rope to call back spear|牛仔知晓如何用绳索召回背矛。

//2955658730
Rezillo.slugSpider-description|可以射出具有催眠作用的飞镖的蛞蝓猫，使其他生物进入睡眠状态。你只吃肉，因为植物不会为你提供能量。你的咬合力很强大，但可能会吵醒生物。这个mod具有扩展菜单。<LINE>选择左边的mod界面以获得更多选项。<LINE><LINE>特别致谢：<LINE>bro, Fish, LastCherry, o645, Jim, Slime_Cubed, Turk, WillowWisp, 和Vigaro!<LINE>由Artistica.us负责美术。
Soporific|催眠师
The Soporific|催眠师
THE SOPORIFIC|催眠师
SOPORIFIC|催眠师
Soporific, The Spider like Slugcat that you shoot out darts to stun your enemies.<LINE>You only eat meat. Your bite is powerful but risk waking them up.|像蜘蛛一样的蛞蝓猫，射出飞镖来眩晕敌人。<LINE>一个肉食主义者，有着尖利的牙齿，但有唤醒猎物的风险。

//2955682251
LadyLampblack.florist-description|增加了新角色的mod，花使的雨世界游玩旅程聚焦于植物的效果。
The Florist|花使
THE FLORIST|花使
Florist|花使
A slugcat that has been incredibly entranced by the flowers and plants growing around it.<LINE>This slugcat is more in-tune with the plant life and knows how to procure what it needs.|淹没于繁茂的花丛中，<LINE>与植物心灵相通，知晓它们的需求。
